Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948588,50,,Aggregated,9.500000,0.000000,270,520,740,1000,2700,4400,7600,11000,12000,12000,12000,245,0,270.0,961.3253386085378,34.78272905340418,12220.414504990913,2807931.6979591837
1771948589,50,,Aggregated,9.100000,0.000000,270,520,740,1000,2700,4400,7600,11000,12000,12000,12000,250,0,270.0,946.4401908083819,34.78272905340418,12220.414504990913,2755210.312
1771948590,50,,Aggregated,8.400000,0.000000,270,530,790,1000,2700,4400,7500,11000,12000,12000,12000,257,0,270.0,956.1185783274917,34.78272905340418,12220.414504990913,2754784.5914396886
1771948591,50,,Aggregated,8.400000,0.000000,270,530,810,1000,2500,4400,7500,11000,12000,12000,12000,263,0,270.0,945.9921656432739,34.78272905340418,12220.414504990913,2726890.74904943
1771948592,50,,Aggregated,8.200000,0.000000,270,550,810,1000,2500,4400,7500,11000,12000,12000,12000,266,0,270.0,946.8761319443373,34.78272905340418,12220.414504990913,2728348.067669173
1771948593,50,,Aggregated,8.000000,0.000000,270,580,820,1000,2700,5200,7600,12000,31000,31000,31000,273,0,270.0,1079.1378377221658,34.78272905340418,31293.925919977482,3001399.673992674
1771948594,50,,Aggregated,7.600000,0.000000,270,580,830,1100,3000,5700,9300,12000,31000,31000,31000,280,0,270.0,1181.8204868472615,34.78272905340418,31293.925919977482,3257922.9214285715
1771948595,50,,Aggregated,6.900000,0.000000,270,580,820,1100,3000,5700,9300,12000,31000,31000,31000,287,0,270.0,1181.0476198615604,34.78272905340418,31293.925919977482,3211261.8780487804
1771948596,50,,Aggregated,6.300000,0.000000,270,580,820,1100,3000,5700,9300,12000,31000,31000,31000,290,0,270.0,1171.679091242399,34.78272905340418,31293.925919977482,3180428.4413793106
1771948597,50,,Aggregated,6.000000,0.000000,270,580,820,1100,3200,6000,11000,12000,31000,31000,31000,297,0,270.0,1200.784792142892,34.78272905340418,31293.925919977482,3206139.8181818184
1771948598,50,,Aggregated,6.100000,0.000000,270,580,830,1100,3000,5700,9300,12000,31000,31000,31000,302,0,270.0,1191.2154477665551,34.78272905340418,31293.925919977482,3162898.2450331124
1771948599,50,,Aggregated,5.500000,0.000000,270,580,830,1100,3000,5700,9300,12000,31000,31000,31000,306,0,270.0,1183.5983528187226,34.78272905340418,31293.925919977482,3144790.1470588236
1771948600,50,,Aggregated,5.500000,0.000000,270,580,850,1100,3200,6000,11000,12000,31000,31000,31000,310,0,270.0,1213.1137289596916,34.78272905340418,31293.925919977482,3154480.6548387096
1771948601,50,,Aggregated,5.600000,0.000000,270,580,880,1100,3200,6100,11000,13000,39000,39000,39000,314,0,270.0,1329.101188043073,34.78272905340418,39236.823182029184,3366964.7070063693
1771948602,50,,Aggregated,5.600000,0.000000,270,580,880,1100,3200,6100,11000,13000,39000,39000,39000,317,0,270.0,1323.2457171846474,34.78272905340418,39236.823182029184,3361912.3280757098
1771948603,50,,Aggregated,5.400000,0.000000,280,600,910,1200,3400,6200,12000,26000,39000,39000,39000,324,0,280.0,1422.3589186900135,34.78272905340418,39236.823182029184,3578508.524691358
1771948604,50,,Aggregated,5.100000,0.000000,290,620,910,1200,3400,6200,12000,26000,39000,39000,39000,328,0,280.0,1418.3383837852289,34.78272905340418,39236.823182029184,3561202.5579268294
1771948605,50,,Aggregated,5.100000,0.000000,290,620,910,1300,3400,6200,12000,26000,39000,39000,39000,333,0,290.0,1419.932533389058,34.78272905340418,39236.823182029184,3535377.093093093
1771948606,50,,Aggregated,5.100000,0.000000,290,620,930,1300,3600,6200,12000,26000,39000,39000,39000,335,0,290.0,1444.644382810776,34.78272905340418,39236.823182029184,3558618.8298507463
1771948607,50,,Aggregated,4.600000,0.000000,290,620,930,1300,3600,6200,12000,26000,39000,39000,39000,339,0,290.0,1442.139988004987,34.78272905340418,39236.823182029184,3558827.0147492625
1771948608,50,,Aggregated,4.500000,0.000000,300,630,960,1300,3800,6800,26000,33000,41000,41000,41000,348,0,290.0,1738.6799646515049,34.78272905340418,41202.084526012186,4106239.7298850575
1771948609,50,,Aggregated,4.200000,0.000000,300,630,960,1300,3800,6800,26000,33000,41000,41000,41000,350,0,290.0,1733.0955076791413,34.78272905340418,41202.084526012186,4086862.4885714287
1771948610,50,,Aggregated,4.200000,0.000000,300,630,960,1300,3800,7500,13000,33000,41000,41000,41000,353,0,300.0,1753.0636586649239,34.78272905340418,41202.084526012186,4098229.920679887
1771948611,50,,Aggregated,4.400000,0.000000,300,650,990,1400,4100,7600,26000,33000,41000,41000,41000,358,0,300.0,1834.0193650019603,34.78272905340418,41202.084526012186,4280906.237430167
1771948612,50,,Aggregated,4.300000,0.000000,310,650,1000,1400,4200,7900,29000,33000,41000,41000,41000,363,0,310.0,1930.8585535174302,34.78272905340418,41202.084526012186,4459887.716253444
1771948613,50,,Aggregated,4.300000,0.000000,310,660,990,1400,4200,7900,29000,33000,41000,41000,41000,365,0,310.0,1924.0746675038467,34.78272905340418,41202.084526012186,4441226.030136987
1771948614,50,,Aggregated,4.400000,0.000000,320,670,1000,1400,4300,9300,31000,37000,41000,41000,41000,371,0,320.0,2029.2076107493924,34.78272905340418,41202.084526012186,4638901.986522911
